participant_id,joe_context,stimulus,condition,univ_judgment,excluded
R_1OAJ7HJqKJdsnK8,No A,no_line_A,1cut,50.0,False
R_1OAJ7HJqKJdsnK8,No B,no_line_B,1cut,50.0,False
R_1OAJ7HJqKJdsnK8,No C,no_line_C,1cut,50.0,False
R_1OAJ7HJqKJdsnK8,No D,no_line_D,1cut,50.0,False
R_1OAJ7HJqKJdsnK8,Yes B,yes_line_B,1cut,0.0,False
R_1OAJ7HJqKJdsnK8,Yes C,yes_line_C,1cut,-20.0,False
R_1OAJ7HJqKJdsnK8,Yes D,yes_line_D,1cut,-20.0,False
R_1OAJ7HJqKJdsnK8,Yes E,yes_line_E,1cut,-50.0,False
R_1OAJ7HJqKJdsnK8,Yes F,yes_line_F,1cut,-10.0,False
R_el1TUQvCIAwDR5L,No 1,no_line_1,1cut,24.0,False
R_el1TUQvCIAwDR5L,No 2,no_line_2,1cut,50.0,False
R_el1TUQvCIAwDR5L,No 3,no_line_3,1cut,17.0,False
R_el1TUQvCIAwDR5L,Yes 1,yes_line_7,1cut,-41.0,False
R_el1TUQvCIAwDR5L,Yes 2,yes_line_8,1cut,-27.0,False
R_el1TUQvCIAwDR5L,Yes 3,yes_line_9,1cut,-17.0,False
R_el1TUQvCIAwDR5L,Yes 4,yes_line_10,1cut,-50.0,False
R_el1TUQvCIAwDR5L,New Yes 7,7esque,1cut,-15.0,False
R_el1TUQvCIAwDR5L,New Yes 9,9esque,1cut,26.0,False
R_el1TUQvCIAwDR5L,New Yes 10,10esque,1cut,0.0,False
R_el1TUQvCIAwDR5L,Maybe 1,maybe_4,1cut,50.0,False
R_el1TUQvCIAwDR5L,Maybe 2,maybe_5,1cut,15.0,False
R_el1TUQvCIAwDR5L,Maybe 3,maybe_6,1cut,15.0,False
R_el1TUQvCIAwDR5L,New Maybe 1,new_maybe_1,1cut,5.0,False
R_el1TUQvCIAwDR5L,New Maybe 2,new_maybe_2,1cut,39.0,False
R_el1TUQvCIAwDR5L,New Maybe 3,new_maybe_3,1cut,-5.0,False
R_el1TUQvCIAwDR5L,New Maybe 4,new_maybe_4,1cut,-25.0,False
R_el1TUQvCIAwDR5L,New Maybe 5,new_maybe_5,1cut,5.0,False
R_el1TUQvCIAwDR5L,New Maybe 6,new_maybe_6,1cut,-5.0,False
R_el1TUQvCIAwDR5L,No A,no_line_A,1cut,50.0,False
R_el1TUQvCIAwDR5L,No B,no_line_B,1cut,50.0,False
