run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
23,30,116,148,80,257,230,202,172,new_maybe_5,181257,0.0001,1000,8,984.490918333,-6.518867924528302,6.0,6.556603773584905,1.4339622641509433,0.04193781257442253
24,30,167,76,56,121,99,146,194,new_maybe_5,181258,0.0001,1000,8,752.205593291,-3.2547169811320753,7.0,3.292452830188679,0.839622641509434,0.04872977734400852
25,30,52,77,100,128,218,226,154,new_maybe_5,181259,0.0001,1000,8,814.266808292,-4.160377358490566,4.0,4.19811320754717,1.1415094339622642,0.08896405643475669
26,31,77,177,54,103,128,208,156,new_maybe_5,181260,0.0001,1000,8,793.453044666,-3.6792452830188678,5.0,3.707547169811321,0.9622641509433962,0.059844989923164116
27,30,53,89,97,173,194,124,145,new_maybe_5,181261,0.0001,1000,8,763.565798125,-3.4056603773584904,6.0,3.443396226415094,0.839622641509434,0.045024577510562214
28,52,126,73,161,179,101,206,229,new_maybe_5,181262,0.0001,1000,8,977.868267917,-5.5,6.0,5.5,0.9622641509433962,0.01767038337073945
29,31,51,220,132,76,186,159,101,new_maybe_5,181263,0.0001,1000,8,773.889661625,-3.8867924528301887,9.0,3.981132075471698,1.0754716981132075,0.07451006030027063
30,32,89,54,110,215,188,144,160,new_maybe_5,181264,0.0001,1000,8,849.503708834,-4.226415094339623,7.0,4.273584905660377,1.0188679245283019,0.053620137571157356
31,30,52,324,177,201,77,141,149,new_maybe_5,181265,0.0001,1000,8,901.727186083,-5.726415094339623,9.0,5.773584905660377,2.0660377358490565,0.11451279577860674
32,30,79,216,53,133,105,157,186,new_maybe_5,181266,0.0001,1000,8,836.205987792,-3.9150943396226414,6.0,3.9622641509433962,1.0471698113207548,0.06719142949150458
33,32,53,103,224,192,78,869,-1,new_maybe_5,181267,0.0001,1000,8,2263.211948417,-9.49056603773585,7.0,10.49056603773585,7.5,0.38084796015180267
34,32,493,50,162,157,216,189,533,new_maybe_5,181268,0.0001,1000,8,1102.703705833,-12.150943396226415,9.0,12.235849056603774,4.018867924528302,0.1809939314153608
35,30,53,77,101,183,208,128,153,new_maybe_5,181269,0.0001,1000,8,656.23428075,-3.669811320754717,6.0,3.707547169811321,0.9716981132075472,0.0648376915074711
36,32,55,80,184,156,204,227,102,new_maybe_5,181270,0.0001,1000,8,712.024680875,-4.679245283018868,6.0,4.7075471698113205,1.1320754716981132,0.07425056561085963
37,30,81,247,190,222,299,273,179,new_maybe_5,181271,0.0001,1000,8,1073.068209583,-9.216981132075471,7.0,9.254716981132075,1.830188679245283,0.02969517442085312
38,30,54,102,123,81,171,202,150,new_maybe_5,181272,0.0001,1000,8,639.103606292,-3.481132075471698,5.0,3.518867924528302,0.9150943396226415,0.05280446652921844
39,30,53,212,152,128,103,183,75,new_maybe_5,181273,0.0001,1000,8,645.484608667,-3.69811320754717,8.0,4.0,1.009433962264151,0.06778689039718455
40,30,54,77,196,103,138,164,223,new_maybe_5,181274,0.0001,1000,8,657.4799275,-4.160377358490566,6.0,4.19811320754717,1.1132075471698113,0.07576608689160946
41,59,197,51,227,81,144,186,259,new_maybe_5,181275,0.0001,1000,8,637.66167725,-6.226415094339623,10.0,6.283018867924528,1.2547169811320755,0.05551653801055312
42,32,178,55,109,245,215,116,143,new_maybe_5,181276,0.0001,1000,8,632.861478042,-5.179245283018868,9.0,5.216981132075472,1.3018867924528301,0.06542385366772496
43,60,52,130,105,98,151,204,181,new_maybe_5,181277,0.0001,1000,8,547.488758666,-4.122641509433962,3.0,4.122641509433962,0.7264150943396226,0.012765522875817004
44,30,201,54,78,119,124,174,148,new_maybe_5,181278,0.0001,1000,8,514.057856,-3.6226415094339623,7.0,3.688679245283019,0.9056603773584906,0.047667342799188495
45,30,136,81,59,160,107,219,185,new_maybe_5,181279,0.0001,1000,8,545.022186125,-4.084905660377358,4.0,4.122641509433962,1.0754716981132075,0.06055922240953704
46,30,51,74,164,97,695,740,132,new_maybe_5,181280,0.0001,1000,8,891.926134875,-13.575471698113208,6.0,13.61320754716981,5.990566037735849,0.3121435696063599
47,53,43,129,77,157,101,214,183,new_maybe_5,181281,0.0001,1000,8,454.849827875,-3.8962264150943398,1.0,3.8962264150943398,0.9056603773584906,0.052908330260003744
48,32,102,53,83,166,224,142,190,new_maybe_5,181282,0.0001,1000,8,438.76450725,-4.226415094339623,6.0,4.283018867924528,1.1037735849056605,0.06874110531309285
49,30,53,99,176,122,211,148,77,new_maybe_5,181283,0.0001,1000,8,419.515146416,-3.509433962264151,8.0,3.792452830188679,1.0,0.06568279604418192
50,30,124,73,100,64,148,173,196,new_maybe_5,181284,0.0001,1000,8,397.789145583,-3.4339622641509435,7.0,3.6320754716981134,0.8584905660377359,0.045927539518009874
