run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
12,18,25,16,19,16,16,25,18,no_line_B,211246,0.0001,1000,8,646.473471,2.239130434782609,11.0,0.06521739130434782,-0.41304347826086957,-0.06847426470588225
13,20,21,16,25,16,16,19,18,no_line_B,211247,0.0001,1000,8,543.295507375,2.282608695652174,14.0,0.043478260869565216,-0.41304347826086957,-0.08045322847682113
14,20,29,22,17,16,16,18,18,no_line_B,211248,0.0001,1000,8,438.583637083,2.1739130434782608,15.0,0.1956521739130435,-0.32608695652173914,-0.05989583333333326
15,18,20,16,20,16,16,26,18,no_line_B,211249,0.0001,1000,8,529.19561575,2.3043478260869565,11.0,0.0,-0.391304347826087,-0.07906250000000004
16,20,22,20,17,16,16,19,26,no_line_B,211250,0.0001,1000,8,560.099870417,2.1739130434782608,12.0,0.043478260869565216,-0.391304347826087,-0.07592147435897445
17,18,23,20,18,16,16,27,18,no_line_B,211251,0.0001,1000,8,790.781232292,2.1739130434782608,11.0,0.021739130434782608,-0.3695652173913043,-0.06951121794871784
18,19,21,16,24,16,16,19,25,no_line_B,211252,0.0001,1000,8,562.81030525,2.1739130434782608,10.0,0.021739130434782608,-0.41304347826086957,-0.06951121794871784
19,19,30,16,19,16,16,27,18,no_line_B,211253,0.0001,1000,8,415.171237542,2.0652173913043477,12.0,0.1956521739130435,-0.30434782608695654,-0.037509704968944124
20,19,21,16,23,16,16,20,18,no_line_B,211254,0.0001,1000,8,456.122133042,2.3260869565217392,13.0,0.021739130434782608,-0.45652173913043476,-0.09107592281879184
21,20,27,19,17,16,16,25,18,no_line_B,211255,0.0001,1000,8,483.675774542,2.130434782608696,13.0,0.15217391304347827,-0.3695652173913043,-0.05963212025316467
22,19,24,16,20,16,16,27,18,no_line_B,211256,0.0001,1000,8,527.3503445,2.1739130434782608,12.0,0.06521739130434782,-0.3695652173913043,-0.05989583333333326
23,19,27,16,31,16,16,19,18,no_line_B,211257,0.0001,1000,8,514.136421,2.0434782608695654,13.0,0.15217391304347827,-0.2826086956521739,-0.03288966049382713
24,18,29,16,20,16,16,21,18,no_line_B,211258,0.0001,1000,8,417.455030208,2.217391304347826,11.0,0.15217391304347827,-0.32608695652173914,-0.06016639610389607
25,18,30,16,20,16,16,22,18,no_line_B,211259,0.0001,1000,8,595.540348583,2.1739130434782608,11.0,0.17391304347826086,-0.30434782608695654,-0.051883012820512775
26,18,20,16,19,16,16,28,18,no_line_B,211260,0.0001,1000,8,515.228511917,2.282608695652174,11.0,0.0,-0.34782608695652173,-0.0705194536423841
27,18,21,16,20,16,16,20,18,no_line_B,211261,0.0001,1000,8,328.334192917,2.4130434782608696,11.0,0.0,-0.5,-0.1063038793103448
28,20,23,22,17,16,16,27,18,no_line_B,211262,0.0001,1000,8,746.564903209,2.108695652173913,13.0,0.06521739130434782,-0.3695652173913043,-0.06264740566037741
