run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
32,26,85,44,99,65,85,60,36,yes_line_F,281266,0.0001,1000,8,793.277343208,-2.3529411764705883,9.0,3.0392156862745097,1.2941176470588236,0.19336842105263163
33,30,62,39,117,58,81,82,36,yes_line_F,281267,0.0001,1000,8,737.468862875,-2.450980392156863,7.0,3.156862745098039,1.5686274509803921,0.2122199062011465
34,28,43,65,75,97,85,57,34,yes_line_F,281268,0.0001,1000,8,796.499971208,-2.0392156862745097,9.0,2.7254901960784315,1.2156862745098038,0.18982709873858195
35,30,40,57,77,89,56,79,38,yes_line_F,281269,0.0001,1000,8,623.465282209,-1.6862745098039216,8.0,2.3137254901960786,1.0196078431372548,0.16818387169640836
36,28,41,77,60,81,97,54,36,yes_line_F,281270,0.0001,1000,8,702.410988333,-1.8431372549019607,9.0,2.5294117647058822,1.2156862745098038,0.18914057295136577
37,33,48,65,78,90,86,61,34,yes_line_F,281271,0.0001,1000,8,689.215042042,-2.2549019607843137,9.0,2.803921568627451,0.9803921568627451,0.16251993620414673
38,28,41,62,80,93,73,58,34,yes_line_F,281272,0.0001,1000,8,621.859335208,-1.7450980392156863,9.0,2.4705882352941178,1.1372549019607843,0.1815901694534845
39,28,42,71,55,93,76,69,34,yes_line_F,281273,0.0001,1000,8,549.977110208,-1.7254901960784315,8.0,2.4313725490196076,1.1372549019607843,0.17696243814664858
40,28,58,41,83,79,96,60,38,yes_line_F,281274,0.0001,1000,8,543.98838625,-2.019607843137255,8.0,2.6862745098039214,1.196078431372549,0.18380734444807678
41,28,42,61,71,78,88,57,36,yes_line_F,281275,0.0001,1000,8,421.547328417,-1.588235294117647,9.0,2.2549019607843137,1.0392156862745099,0.16786733645393315
42,26,59,41,77,57,98,77,34,yes_line_F,281276,0.0001,1000,8,481.508872,-1.7450980392156863,7.0,2.5294117647058822,1.2745098039215685,0.1933172483447425
43,28,44,96,70,83,58,61,34,yes_line_F,281277,0.0001,1000,8,496.839362125,-1.8431372549019607,10.0,2.5098039215686274,1.196078431372549,0.18386631134799014
44,28,76,43,61,92,106,58,34,yes_line_F,281278,0.0001,1000,8,534.9304815,-2.3137254901960786,9.0,3.019607843137255,1.392156862745098,0.20781018812090468
45,28,45,61,75,95,61,85,37,yes_line_F,281279,0.0001,1000,8,479.210674667,-2.0980392156862746,7.0,2.6862745098039214,1.1764705882352942,0.17745055657624542
46,28,43,62,85,98,76,60,35,yes_line_F,281280,0.0001,1000,8,495.810771333,-2.0980392156862746,9.0,2.764705882352941,1.2352941176470589,0.18823084405057822
47,30,48,64,78,105,83,58,36,yes_line_F,281281,0.0001,1000,8,492.488065958,-2.392156862745098,9.0,2.9607843137254903,1.3333333333333333,0.18551583141119732
48,26,43,64,100,77,60,83,34,yes_line_F,281282,0.0001,1000,8,553.764845166,-2.0980392156862746,8.0,2.823529411764706,1.3137254901960784,0.1954177023668
49,26,43,61,82,78,58,99,35,yes_line_F,281283,0.0001,1000,8,487.580317667,-2.0,8.0,2.7058823529411766,1.2941176470588236,0.1938414500982748
50,28,41,61,80,105,85,54,34,yes_line_F,281284,0.0001,1000,8,498.852789875,-2.1176470588235294,9.0,2.843137254901961,1.3725490196078431,0.2075118636755824
