country,stimulus,judgment_mean,judgment_stdev,sample_size
Egypt,new_yes_10_bad,1.3783783783783783,0.9531046156684,37
Egypt,yesline_F_1cut,3.40625,1.5833687036230388,32
Egypt,maybe_5_1cut,3.090909090909091,1.6818896047916259,44
Egypt,noline_A_1cut,3.525,1.709513351055176,40
Egypt,noline_B_1cut,3.108108108108108,1.744575462266836,37
Egypt,yesline_C_1cut,3.1714285714285713,1.5240370978523627,35
Egypt,yesline_B_badder,1.6571428571428573,0.9684085532720269,35
Egypt,new_yes_9_1cut,2.8157894736842106,1.625061548238059,38
Egypt,new_yes_7_1cut,1.8888888888888888,1.5076524377375156,36
Egypt,yesline_B_bad,2.375,1.3902130439944473,40
Egypt,new_maybe_4_bad,1.5789473684210527,1.130213539913453,38
Egypt,yesline_C_badder,1.8,1.0177904675803542,40
Egypt,yesline_E_1cut,1.4193548387096775,0.719916363123157,31
France,new_maybe_3_badder,2.161290322580645,1.293490734241994,31
France,new_maybe_6_1cut,3.264705882352941,1.5037090210424184,34
France,new_yes_9esque_1cut,3.4242424242424243,1.541717853368099,33
France,maybe_6_1cut,3.727272727272727,1.4420629162923004,33
France,noline_D_1cut,3.4545454545454546,1.5829345590332593,33
France,new_no_2_1cut,4.1891891891891895,1.243602246116718,37
France,new_maybe_5_1cut,3.4285714285714284,1.3173646934124719,28
France,yesline_B_1cut,3.774193548387097,1.2834764617853298,31
France,new_yes_8_1cut,2.4054054054054053,1.3008428775959808,37
France,noline_C_1cut,4.185185185185185,1.1447887624104764,27
France,yesline_C_bad,3.108108108108108,1.3288211940534989,37
France,yesline_F_1cut,4.0,1.4142135623730951,31
France,noline_A_1cut,3.945945945945946,1.3732756044894578,37
France,yesline_B_badder,2.411764705882353,1.328422328310143,34
France,yesline_D_1cut,2.5588235294117645,1.3071174965291454,34
France,new_yes_7_1cut,1.8333333333333333,1.4040757000349273,36
France,new_maybe_4_1cut,2.9705882352941178,1.507261094545376,34
France,new_yes_7esque_1cut,1.5333333333333334,1.0080138659874618,30
France,yesline_C_badder,2.466666666666667,1.5916448515084427,30
France,new_no_3_1cut,3.918918918918919,1.552388453290577,37
France,new_yes_10_1cut,1.75,1.3198240351921795,32
France,new_yes_10_bad,1.8125,1.3304740847993173,32
France,yesline_B_bad,2.8620689655172415,1.2456821978060995,29
France,maybe_4_1cut,4.133333333333334,1.407696414502182,30
France,new_maybe_2_1cut,3.7586206896551726,1.3798336445744128,29
France,new_no_1_1cut,3.696969696969697,1.5100672270806454,33
France,yesline_D_badder,1.6666666666666667,0.9128709291752768,21
France,new_maybe_4_bad,2.5454545454545454,1.4596855203028556,33
France,new_yes_10mod_1cut,1.6153846153846154,1.2025613689761725,26
France,new_maybe_5_bad,1.9411764705882353,1.324390688274108,34
France,new_maybe_1_1cut,3.2580645161290325,1.6117845582972905,31
France,yesline_C_1cut,3.78125,1.3615544958470411,32
France,maybe_5_1cut,3.9642857142857144,1.4777897123279866,28
France,yesline_E_1cut,1.5517241379310345,0.948163898450644,29
France,new_maybe_3_bad,2.5161290322580645,1.2075034228229056,31
France,yesline_D_bad,3.111111111111111,1.2823589374447564,36
France,noline_B_1cut,4.3125,1.1760376338064324,32
France,new_yes_9_1cut,3.466666666666667,1.5477087254553341,30
France,new_maybe_3_1cut,3.4444444444444446,1.2058060598488687,36
Germany,new_yes_10_1cut,1.7222222222222223,1.1366897079077878,36
Germany,noline_A_1cut,3.903225806451613,1.3989243179356872,31
Germany,noline_D_1cut,3.8947368421052633,1.4101844557172352,38
Germany,new_maybe_3_bad,2.918918918918919,1.1396485417876858,37
Germany,new_maybe_5_1cut,3.3225806451612905,1.514091515820484,31
Germany,yesline_D_badder,2.138888888888889,1.4373145152933704,36
Germany,noline_C_1cut,4.151515151515151,1.349101833656658,33
Germany,new_maybe_3_badder,1.8064516129032258,1.0138821377494092,31
Germany,new_maybe_5_bad,2.161290322580645,1.3927616257768445,31
Germany,new_yes_10mod_1cut,2.264705882352941,1.2384942844808056,34
Germany,new_yes_8_1cut,2.5483870967741935,1.206612604979172,31
Germany,new_yes_7_1cut,1.9375,1.4127872245796549,32
Germany,new_maybe_6_1cut,3.735294117647059,1.377499348939224,34
Germany,new_maybe_2_1cut,4.0588235294117645,1.2538710114557177,34
Germany,new_yes_7esque_1cut,2.1714285714285713,1.316986629207983,35
Germany,new_yes_10_bad,1.588235294117647,0.9883456351267774,34
Germany,yesline_E_1cut,2.1176470588235294,1.4515343163899892,34
Germany,yesline_C_1cut,4.033333333333333,1.2726115785600323,30
Germany,new_yes_9_1cut,3.5294117647058822,1.5222649416526253,34
Germany,yesline_C_badder,2.5277777777777777,1.319872528717638,36
Germany,yesline_D_1cut,2.53125,1.3674646896426084,32
Germany,yesline_B_1cut,4.323529411764706,0.9445405564321195,34
Germany,maybe_4_1cut,4.27027027027027,1.0966780305553234,37
Germany,yesline_F_1cut,4.0606060606060606,1.2975793313752038,33
Germany,new_yes_9esque_1cut,3.6216216216216215,1.3406331702957737,37
Germany,maybe_5_1cut,4.033333333333333,1.5196036990935664,30
Germany,maybe_6_1cut,4.138888888888889,1.1502242707471761,36
Germany,new_maybe_3_1cut,3.2285714285714286,1.3950693485970356,35
Germany,yesline_C_bad,3.1714285714285713,1.464997777266218,35
Germany,new_maybe_4_1cut,3.3125,1.533233984626255,32
Germany,yesline_B_badder,2.081081081081081,1.320319371683701,37
Germany,new_maybe_4_bad,2.787878787878788,1.2931931351690995,33
Germany,noline_B_1cut,4.3428571428571425,1.0555973258234956,35
Germany,new_no_3_1cut,4.212121212121212,1.1390120652778375,33
Germany,new_no_1_1cut,3.6666666666666665,1.5306394555404426,36
Germany,new_no_2_1cut,4.114285714285714,1.3884275611053587,35
Germany,yesline_D_bad,3.0,1.2865350418053538,30
Germany,yesline_B_bad,3.2,1.2555757994781893,35
Germany,new_maybe_1_1cut,3.3333333333333335,1.4749368110164005,39
Greece,new_maybe_5_1cut,3.3333333333333335,1.493279966205689,30
Greece,noline_B_1cut,3.7435897435897436,1.4639159581491064,39
Greece,new_yes_8_1cut,2.2777777777777777,1.2560962454277849,36
Greece,yesline_D_badder,1.825,1.1958796783657648,40
Greece,maybe_6_1cut,3.789473684210526,1.473328548831616,38
Greece,new_no_2_1cut,3.9,1.4286446867663216,40
Greece,yesline_B_badder,2.024390243902439,1.0121216546949479,41
Greece,noline_A_1cut,3.1714285714285713,1.688816402198929,35
Greece,yesline_C_badder,1.8717948717948718,1.0804357595430305,39
Greece,new_maybe_3_badder,2.054054054054054,1.451932542547383,37
Greece,new_maybe_5_bad,1.9166666666666667,1.3174650984805196,36
Greece,new_yes_9_1cut,3.0789473684210527,1.5313230271145488,38
Greece,new_no_3_1cut,3.4054054054054053,1.6065743310164897,37
Greece,yesline_B_1cut,3.7027027027027026,1.5250658431116426,37
Greece,noline_D_1cut,3.611111111111111,1.4397971638449192,36
Greece,new_maybe_3_1cut,3.0526315789473686,1.5236401721242956,38
Greece,maybe_5_1cut,3.58974358974359,1.481783220134101,39
Greece,yesline_F_1cut,3.6341463414634148,1.6241320383665792,41
Greece,noline_C_1cut,3.676470588235294,1.4506129996888593,34
Greece,yesline_C_1cut,3.088235294117647,1.484621103765833,34
Greece,new_yes_10mod_1cut,2.0238095238095237,1.315722842007486,42
Greece,new_yes_7_1cut,1.864864864864865,1.1823273226555737,37
Greece,new_maybe_6_1cut,3.1714285714285713,1.4849383882190947,35
Greece,new_yes_10_1cut,1.675,1.0225032129596563,40
Greece,new_no_1_1cut,3.475,1.601081365347039,40
Greece,new_maybe_4_bad,1.8918918918918919,1.3699915608779771,37
Greece,yesline_C_bad,3.0303030303030303,1.6485760614248375,33
Greece,new_yes_9esque_1cut,3.2,1.323986849055,35
Greece,yesline_B_bad,2.7777777777777777,1.4562399941750401,36
Greece,new_yes_7esque_1cut,1.7954545454545454,1.249735701445402,44
Greece,new_maybe_3_bad,2.488372093023256,1.4204642605124334,43
Greece,yesline_D_1cut,2.15625,1.3466655355046881,32
Greece,new_maybe_4_1cut,3.0,1.2139539573337679,39
Greece,yesline_E_1cut,1.8333333333333333,1.2071217242444348,36
Greece,new_maybe_1_1cut,2.75,1.5483655567842813,40
Greece,new_yes_10_bad,1.6153846153846154,1.066607623197185,39
Greece,maybe_4_1cut,3.8292682926829267,1.5636885723249092,41
Greece,yesline_D_bad,2.473684210526316,1.4839108683304933,38
Greece,new_maybe_2_1cut,4.216216216216216,1.2278059730704631,37
Hungary,new_yes_10_1cut,1.8571428571428572,1.1126972805283735,28
Hungary,new_maybe_5_1cut,2.8,1.4479474176011817,30
Hungary,yesline_B_bad,3.225806451612903,1.4308430479815,31
Hungary,new_maybe_4_1cut,3.0588235294117645,1.5163987736218039,34
Hungary,maybe_6_1cut,4.166666666666667,1.362770287738494,36
Hungary,noline_C_1cut,3.909090909090909,1.6271838472426137,33
Hungary,new_maybe_4_bad,2.8823529411764706,1.4305054390150684,34
Hungary,maybe_4_1cut,4.378378378378378,1.0368582714503827,37
Hungary,new_maybe_6_1cut,4.121212121212121,1.1390120652778375,33
Hungary,new_yes_7_1cut,2.075,1.1183206273877924,40
Hungary,new_yes_7esque_1cut,2.235294117647059,1.4576615463133795,34
Hungary,new_yes_9esque_1cut,3.787878787878788,1.4949409636666204,33
Hungary,new_maybe_1_1cut,3.8421052631578947,1.4616968256932832,38
Hungary,yesline_C_bad,3.4857142857142858,1.245496087589873,35
Hungary,yesline_F_1cut,4.235294117647059,1.349721038055794,34
Hungary,new_maybe_2_1cut,4.285714285714286,1.072968081632292,35
Hungary,yesline_B_badder,2.142857142857143,1.3962735519706637,35
Hungary,yesline_D_1cut,3.8823529411764706,1.3874918701886407,34
Hungary,yesline_C_1cut,3.891891891891892,1.242394278618323,37
Hungary,noline_D_1cut,4.516129032258065,0.7690239589651063,31
Hungary,new_yes_9_1cut,3.972972972972973,1.2130422381234183,37
Hungary,new_yes_10mod_1cut,2.2432432432432434,1.3417526971466465,37
Hungary,yesline_E_1cut,1.8055555555555556,1.1909046847896636,36
Hungary,yesline_D_bad,3.21875,1.33765261414503,32
Hungary,new_yes_8_1cut,2.857142857142857,1.4377854119291593,35
Hungary,noline_B_1cut,4.315789473684211,1.1175567742490697,38
Hungary,new_yes_10_bad,1.542857142857143,0.8859311201102668,35
Hungary,new_no_2_1cut,4.181818181818182,1.2613124477737825,33
Hungary,yesline_B_1cut,4.0,1.1071614388213236,32
Hungary,yesline_C_badder,2.3870967741935485,1.475972433230348,31
Hungary,new_maybe_3_1cut,3.611111111111111,1.2711699398086063,36
Hungary,maybe_5_1cut,4.147058823529412,1.3513708627005945,34
Hungary,yesline_D_badder,2.5405405405405403,1.3248604663341927,37
Hungary,noline_A_1cut,4.368421052631579,1.239464850336823,38
Hungary,new_maybe_3_bad,3.125,1.1570262215781262,32
Hungary,new_no_3_1cut,4.416666666666667,0.996422170998389,36
Hungary,new_no_1_1cut,4.176470588235294,1.290303892682794,34
Hungary,new_maybe_3_badder,2.34375,1.2077538469567008,32
Hungary,new_maybe_5_bad,2.375,1.6607421582319852,32
India,new_yes_7_1cut,2.272727272727273,1.6060963403686137,33
India,new_maybe_3_1cut,3.2580645161290325,1.672677333607887,31
India,new_yes_7esque_1cut,2.096774193548387,1.4225526049951527,31
India,new_yes_9_1cut,3.8214285714285716,1.3892063129334604,28
India,yesline_C_1cut,4.0,1.3844373104863457,25
India,yesline_B_badder,1.9444444444444444,1.1697238854763836,36
India,new_no_2_1cut,3.6774193548387095,1.57875682683546,31
India,yesline_D_badder,2.1875,1.4466312368685639,32
India,noline_D_1cut,4.0344827586206895,0.9813532428193826,29
India,maybe_4_1cut,2.8076923076923075,1.497176830417323,26
India,new_maybe_5_bad,2.375,1.7180258738522558,32
India,new_yes_9esque_1cut,3.4074074074074074,1.500237398118128,27
India,yesline_C_badder,2.3421052631578947,1.3611663478274936,38
India,maybe_6_1cut,3.388888888888889,1.643650602040258,36
India,new_yes_10_bad,1.8333333333333333,1.2887666740841357,30
India,maybe_5_1cut,3.925925925925926,1.46565621758588,27
