"subject.code","answer","context","condition","badness"
"R_3D77jkyASlRGTqD",0,"Yes 1","yes","original"
"R_3dDE8OS7jARHVcT",6,"Yes 1","yes","original"
"R_3G3S0l7VxciaIWg",-3,"Yes 1","yes","original"
"R_3iI892aKIzlTCm3",7,"Yes 1","yes","original"
"R_3KW9H9FC1ifo1YV",0,"Yes 1","yes","original"
"R_3MRne9JybULuGPX",0,"Yes 1","yes","original"
"R_a90wt16hQIHhsRj",0,"Yes 1","yes","original"
"R_Aaiu7NwZQoFdazT",0,"Yes 1","yes","original"
"R_AhSldTz7xNWz7SF",0,"Yes 1","yes","original"
"R_ANeTIXcBIwyfggV",15,"Yes 1","yes","original"
"R_BDEiiuol7PCm5od",0,"Yes 1","yes","original"
"R_PwfHbOWesn6tR0l",0,"Yes 1","yes","original"
"R_sChbmfdhKx3fYFb",-10,"Yes 1","yes","original"
"R_SIBMbeTFd37lOY9",1,"Yes 1","yes","original"
"R_XLNB6At9fKflzG1",0,"Yes 1","yes","original"
"R_z6C8dk0TuG2cq2t",0,"Yes 1","yes","original"
"R_0TbvEJOOdRE8Po5",0,"Yes 2","yes","original"
"R_10NQO6ofuvssLna",11,"Yes 2","yes","original"
"R_125YC954CGborqS",0,"Yes 2","yes","original"
"R_1FKepxOiPxYVQHz",11,"Yes 2","yes","original"
"R_1igi8iqWfkvrcc1",-40,"Yes 2","yes","original"
"R_1jwjzf7E6IsgZqq",34,"Yes 2","yes","original"
"R_1jwUh0dtFWDuT4x",-38,"Yes 2","yes","original"
"R_1mL9sBksGn4Chrc",40,"Yes 2","yes","original"
"R_1ooRxXWrJBeti3l",0,"Yes 2","yes","original"
"R_1pmV7CCbwnNL4bs",0,"Yes 2","yes","original"
"R_1qg5zxG4OHT34gX",3,"Yes 2","yes","original"
"R_1rwYAjoube9ImlK",20,"Yes 2","yes","original"
"R_22DGikbZewcoEkH",-38,"Yes 2","yes","original"
"R_22R1B5mN0RA0RMU",-5,"Yes 2","yes","original"
"R_2aQ6gax5O03RSIv",-20,"Yes 2","yes","original"
"R_2dlINIzP1v3FX0g",-23,"Yes 2","yes","original"
"R_2ebd9LcKLlwFO5v",29,"Yes 2","yes","original"
"R_2h5GlipyzZ47VLj",0,"Yes 2","yes","original"
"R_2QrLW0BHAjWVg7Q",50,"Yes 2","yes","original"
"R_2rAt1AD0sqk7yPG",13,"Yes 2","yes","original"
"R_2rkgUKYk3bYGIoF",0,"Yes 2","yes","original"
"R_2uCFCg6xVDEY02q",0,"Yes 2","yes","original"
"R_2XizCOMyNrGa7Az",-12,"Yes 2","yes","original"
"R_31zuDrqUATmHgFI",0,"Yes 2","yes","original"
"R_32KqOo2AEj0tVdX",-50,"Yes 2","yes","original"
"R_3D77jkyASlRGTqD",0,"Yes 2","yes","original"
"R_3dDE8OS7jARHVcT",-3,"Yes 2","yes","original"
"R_3G3S0l7VxciaIWg",0,"Yes 2","yes","original"
"R_3iI892aKIzlTCm3",4,"Yes 2","yes","original"
"R_3KW9H9FC1ifo1YV",15,"Yes 2","yes","original"
"R_3MRne9JybULuGPX",0,"Yes 2","yes","original"
"R_a90wt16hQIHhsRj",-10,"Yes 2","yes","original"
"R_Aaiu7NwZQoFdazT",0,"Yes 2","yes","original"
"R_AhSldTz7xNWz7SF",0,"Yes 2","yes","original"
"R_ANeTIXcBIwyfggV",19,"Yes 2","yes","original"
"R_BDEiiuol7PCm5od",30,"Yes 2","yes","original"
"R_PwfHbOWesn6tR0l",0,"Yes 2","yes","original"
"R_sChbmfdhKx3fYFb",0,"Yes 2","yes","original"
"R_SIBMbeTFd37lOY9",-50,"Yes 2","yes","original"
"R_XLNB6At9fKflzG1",0,"Yes 2","yes","original"
"R_z6C8dk0TuG2cq2t",0,"Yes 2","yes","original"
"R_0TbvEJOOdRE8Po5",0,"Yes 3","yes","original"
"R_10NQO6ofuvssLna",4,"Yes 3","yes","original"
"R_125YC954CGborqS",-10,"Yes 3","yes","original"
"R_1FKepxOiPxYVQHz",0,"Yes 3","yes","original"
"R_1igi8iqWfkvrcc1",-25,"Yes 3","yes","original"
"R_1jwjzf7E6IsgZqq",30,"Yes 3","yes","original"
"R_1jwUh0dtFWDuT4x",22,"Yes 3","yes","original"
"R_1mL9sBksGn4Chrc",14,"Yes 3","yes","original"
"R_1ooRxXWrJBeti3l",3,"Yes 3","yes","original"
"R_1pmV7CCbwnNL4bs",4,"Yes 3","yes","original"
"R_1qg5zxG4OHT34gX",10,"Yes 3","yes","original"
"R_1rwYAjoube9ImlK",10,"Yes 3","yes","original"
"R_22DGikbZewcoEkH",10,"Yes 3","yes","original"
"R_22R1B5mN0RA0RMU",0,"Yes 3","yes","original"
"R_2aQ6gax5O03RSIv",36,"Yes 3","yes","original"
"R_2dlINIzP1v3FX0g",34,"Yes 3","yes","original"
"R_2ebd9LcKLlwFO5v",-14,"Yes 3","yes","original"
"R_2h5GlipyzZ47VLj",11,"Yes 3","yes","original"
"R_2QrLW0BHAjWVg7Q",50,"Yes 3","yes","original"
"R_2rAt1AD0sqk7yPG",19,"Yes 3","yes","original"
"R_2rkgUKYk3bYGIoF",10,"Yes 3","yes","original"
"R_2uCFCg6xVDEY02q",1,"Yes 3","yes","original"
"R_2XizCOMyNrGa7Az",1,"Yes 3","yes","original"
"R_31zuDrqUATmHgFI",2,"Yes 3","yes","original"
"R_32KqOo2AEj0tVdX",-38,"Yes 3","yes","original"
"R_3D77jkyASlRGTqD",0,"Yes 3","yes","original"
"R_3dDE8OS7jARHVcT",6,"Yes 3","yes","original"
"R_3G3S0l7VxciaIWg",4,"Yes 3","yes","original"
"R_3iI892aKIzlTCm3",-12,"Yes 3","yes","original"
"R_3KW9H9FC1ifo1YV",0,"Yes 3","yes","original"
"R_3MRne9JybULuGPX",5,"Yes 3","yes","original"
"R_a90wt16hQIHhsRj",0,"Yes 3","yes","original"
"R_Aaiu7NwZQoFdazT",5,"Yes 3","yes","original"
"R_AhSldTz7xNWz7SF",1,"Yes 3","yes","original"
"R_ANeTIXcBIwyfggV",25,"Yes 3","yes","original"
"R_BDEiiuol7PCm5od",15,"Yes 3","yes","original"
"R_PwfHbOWesn6tR0l",25,"Yes 3","yes","original"
"R_sChbmfdhKx3fYFb",10,"Yes 3","yes","original"
"R_SIBMbeTFd37lOY9",0,"Yes 3","yes","original"
"R_XLNB6At9fKflzG1",50,"Yes 3","yes","original"
"R_z6C8dk0TuG2cq2t",0,"Yes 3","yes","original"
"R_0TbvEJOOdRE8Po5",-4,"Yes 4","yes","original"
"R_10NQO6ofuvssLna",-38,"Yes 4","yes","original"
"R_125YC954CGborqS",-31,"Yes 4","yes","original"
"R_1FKepxOiPxYVQHz",-50,"Yes 4","yes","original"
"R_1igi8iqWfkvrcc1",-50,"Yes 4","yes","original"
"R_1jwjzf7E6IsgZqq",12,"Yes 4","yes","original"
"R_1jwUh0dtFWDuT4x",0,"Yes 4","yes","original"
"R_1mL9sBksGn4Chrc",-43,"Yes 4","yes","original"
"R_1ooRxXWrJBeti3l",-9,"Yes 4","yes","original"
