country,split_half_corr,subsample_size,seed,portion_excluded,n_after_exclusions,label
Canada,0.8747020929855215,2059,193048,0.1896551724137931,94,N = 94
Canada,0.7636687868542634,2059,3132,0.1896551724137931,94,N = 94
Canada,0.8682913899844628,2059,645734,0.1896551724137931,94,N = 94
Canada,0.859627640481351,2059,251267,0.1896551724137931,94,N = 94
Canada,0.8145388294577152,2059,657644,0.1896551724137931,94,N = 94
Canada,0.9205894480188949,2059,858490,0.1896551724137931,94,N = 94
Canada,0.8193819546092425,2059,430907,0.1896551724137931,94,N = 94
Canada,0.8575334905547486,2059,425298,0.1896551724137931,94,N = 94
Canada,0.8583264380218684,2059,175989,0.1896551724137931,94,N = 94
Canada,0.790380249179686,2059,735818,0.1896551724137931,94,N = 94
Canada,0.8639619901108533,2059,698900,0.1896551724137931,94,N = 94
Canada,0.852126076404712,2059,922043,0.1896551724137931,94,N = 94
Canada,0.7524635511355251,2059,775964,0.1896551724137931,94,N = 94
Canada,0.8177253812107907,2059,153474,0.1896551724137931,94,N = 94
Canada,0.8295610511995931,2059,803483,0.1896551724137931,94,N = 94
Canada,0.7528765869235998,2059,992259,0.1896551724137931,94,N = 94
Canada,0.8103547442100235,2059,357628,0.1896551724137931,94,N = 94
Canada,0.8304324314757423,2059,182331,0.1896551724137931,94,N = 94
Canada,0.8130077787147159,2059,851945,0.1896551724137931,94,N = 94
Canada,0.8406946726997389,2059,940112,0.1896551724137931,94,N = 94
Canada,0.8601972141605692,2059,974896,0.1896551724137931,94,N = 94
Canada,0.8208474660564322,2059,86883,0.1896551724137931,94,N = 94
Canada,0.8440996724705527,2059,878964,0.1896551724137931,94,N = 94
Canada,0.8076919417762509,2059,468210,0.1896551724137931,94,N = 94
Canada,0.8571034607232172,2059,431765,0.1896551724137931,94,N = 94
Canada,0.8598032442298055,2059,828989,0.1896551724137931,94,N = 94
Canada,0.7931829440615759,2059,905231,0.1896551724137931,94,N = 94
Canada,0.8488405708610591,2059,281052,0.1896551724137931,94,N = 94
Canada,0.8713962410225545,2059,760105,0.1896551724137931,94,N = 94
Canada,0.8676073600750659,2059,869091,0.1896551724137931,94,N = 94
Canada,0.7852047264017583,2059,865336,0.1896551724137931,94,N = 94
Canada,0.8039214324555798,2059,976416,0.1896551724137931,94,N = 94
Canada,0.8237882039254885,2059,329552,0.1896551724137931,94,N = 94
Canada,0.7972474047434298,2059,841713,0.1896551724137931,94,N = 94
Canada,0.8506725200052234,2059,425248,0.1896551724137931,94,N = 94
Canada,0.876498641259303,2059,448873,0.1896551724137931,94,N = 94
Canada,0.8510149901321823,2059,757420,0.1896551724137931,94,N = 94
Canada,0.8694408946471252,2059,370508,0.1896551724137931,94,N = 94
Canada,0.7938591521531535,2059,753218,0.1896551724137931,94,N = 94
Canada,0.891892140166438,2059,482669,0.1896551724137931,94,N = 94
Canada,0.8321919522419249,2059,8054,0.1896551724137931,94,N = 94
Canada,0.8506900359185045,2059,92181,0.1896551724137931,94,N = 94
Canada,0.8094506333800653,2059,763776,0.1896551724137931,94,N = 94
Canada,0.8618998506344444,2059,226683,0.1896551724137931,94,N = 94
Egypt,0.7849859633793305,2059,979350,0.2733333333333333,109,N = 109
Egypt,0.852604223309695,2059,976699,0.2733333333333333,109,N = 109
Egypt,0.8181235653453874,2059,987940,0.2733333333333333,109,N = 109
Egypt,0.7824882329142189,2059,380195,0.2733333333333333,109,N = 109
Egypt,0.8247047499248098,2059,171359,0.2733333333333333,109,N = 109
Egypt,0.8423849796281652,2059,923246,0.2733333333333333,109,N = 109
Egypt,0.8692598194670224,2059,104892,0.2733333333333333,109,N = 109
Egypt,0.8026531112228699,2059,261692,0.2733333333333333,109,N = 109
Egypt,0.7853700012999019,2059,138780,0.2733333333333333,109,N = 109
Egypt,0.7549837292239195,2059,319097,0.2733333333333333,109,N = 109
Egypt,0.830622921493213,2059,536048,0.2733333333333333,109,N = 109
Egypt,0.8098821487348163,2059,118091,0.2733333333333333,109,N = 109
Egypt,0.8110790966451608,2059,795857,0.2733333333333333,109,N = 109
Egypt,0.8582726447944967,2059,241766,0.2733333333333333,109,N = 109
Egypt,0.8416404330867674,2059,786055,0.2733333333333333,109,N = 109
Egypt,0.860471931531905,2059,318533,0.2733333333333333,109,N = 109
Egypt,0.8629856681403172,2059,793492,0.2733333333333333,109,N = 109
Egypt,0.839329331754246,2059,964079,0.2733333333333333,109,N = 109
Egypt,0.9025563818830621,2059,958329,0.2733333333333333,109,N = 109
Egypt,0.835786883745248,2059,263649,0.2733333333333333,109,N = 109
Egypt,0.8463196800214766,2059,555616,0.2733333333333333,109,N = 109
Egypt,0.8184068972272491,2059,441006,0.2733333333333333,109,N = 109
Egypt,0.8182229299700731,2059,254718,0.2733333333333333,109,N = 109
Egypt,0.7899109270459176,2059,609870,0.2733333333333333,109,N = 109
Egypt,0.7833694797515669,2059,897098,0.2733333333333333,109,N = 109
Egypt,0.852364272159456,2059,863621,0.2733333333333333,109,N = 109
Egypt,0.821422808311381,2059,645975,0.2733333333333333,109,N = 109
Egypt,0.8205939840361413,2059,863757,0.2733333333333333,109,N = 109
Egypt,0.7169093955742233,2059,518468,0.2733333333333333,109,N = 109
Egypt,0.7995012874583772,2059,674881,0.2733333333333333,109,N = 109
