"subject.code","answer","context","condition","badness"
"R_1EYCOF0MawdNwGL",17,"Maybe 3 Bad","maybe","bad"
"R_1gpcMqQw3MgxmQj",22,"Maybe 3 Bad","maybe","bad"
"R_1hTodwWx3dCHEuv",-14,"Maybe 3 Bad","maybe","bad"
"R_1i9eQNz0x41R0gv",-31,"Maybe 3 Bad","maybe","bad"
"R_1jNGHGsMwnv28ul",4,"Maybe 3 Bad","maybe","bad"
"R_1kIcX7Z0ftlxVr6",-38,"Maybe 3 Bad","maybe","bad"
"R_1o6g2UdSHt2gzKi",14,"Maybe 3 Bad","maybe","bad"
"R_1OAJ7HJqKJdsnK8",20,"Maybe 3 Bad","maybe","bad"
"R_1rIDbUD7D19jHwL",21,"Maybe 3 Bad","maybe","bad"
"R_26kYaGxKqcDzQh2",-31,"Maybe 3 Bad","maybe","bad"
"R_2AEz7gp2X7S0kDc",-38,"Maybe 3 Bad","maybe","bad"
"R_2aLg1pNUmyUyafN",-20,"Maybe 3 Bad","maybe","bad"
"R_2bZQfabnPp5zGxV",20,"Maybe 3 Bad","maybe","bad"
"R_2dMWycJ8dauXSdx",14,"Maybe 3 Bad","maybe","bad"
"R_2Et5O1r8XPyRY5g",-45,"Maybe 3 Bad","maybe","bad"
"R_2TBm9RblyDfXDNy",4,"Maybe 3 Bad","maybe","bad"
"R_2uxDBKloZO3l4p5",-28,"Maybe 3 Bad","maybe","bad"
"R_2WCjAMrzmDLSd1H",-18,"Maybe 3 Bad","maybe","bad"
"R_2Y55QH959rCKwBe",-30,"Maybe 3 Bad","maybe","bad"
"R_2YRJa3vIbwJ9jsl",-41,"Maybe 3 Bad","maybe","bad"
"R_2zGesJmcZ2DxCol",12,"Maybe 3 Bad","maybe","bad"
"R_31pzf0Jx1WFjqlw",-36,"Maybe 3 Bad","maybe","bad"
"R_33dMzf9QgBTvzIa",-9,"Maybe 3 Bad","maybe","bad"
"R_3dLWRwgFtRAUU16",-17,"Maybe 3 Bad","maybe","bad"
"R_3fdF6udlM8Cxmn2",-35,"Maybe 3 Bad","maybe","bad"
"R_3g0FAV2qa3JazkP",-50,"Maybe 3 Bad","maybe","bad"
"R_3GdfcgvTi8pXOSv",-39,"Maybe 3 Bad","maybe","bad"
"R_3istlOYztRUWLYY",8,"Maybe 3 Bad","maybe","bad"
"R_3KrwIEiFNwyLrls",-26,"Maybe 3 Bad","maybe","bad"
"R_3mk0cu2a0kcfaSa",-39,"Maybe 3 Bad","maybe","bad"
"R_3nBCqCUtqVFTrI0",-12,"Maybe 3 Bad","maybe","bad"
"R_6rOmpFR4YjwG0BX",32,"Maybe 3 Bad","maybe","bad"
"R_9sh4pIR37U64lfb",-5,"Maybe 3 Bad","maybe","bad"
"R_CZz6qgVfnScHiq5",-35,"Maybe 3 Bad","maybe","bad"
"R_d71WN2oRhe3kdrP",11,"Maybe 3 Bad","maybe","bad"
"R_eeMg8U5womHNF61",4,"Maybe 3 Bad","maybe","bad"
"R_el1TUQvCIAwDR5L",3,"Maybe 3 Bad","maybe","bad"
"R_PGapHcX7F2JrNlL",-50,"Maybe 3 Bad","maybe","bad"
"R_ufUR3Su9erPZhyp",-30,"Maybe 3 Bad","maybe","bad"
"R_XXOsEe77FrCYtd7",0,"Maybe 3 Bad","maybe","bad"
"R_yDAXwlOgsRhNQ7n",24,"Maybe 3 Bad","maybe","bad"
"R_yOe552T3O8bum1H",50,"Maybe 3 Bad","maybe","bad"
"R_ZwUKUhG7ztdMPbr",-46,"Maybe 3 Bad","maybe","bad"
"R_1EYCOF0MawdNwGL",50,"Maybe 3 Badder","maybe","badder"
"R_1gpcMqQw3MgxmQj",6,"Maybe 3 Badder","maybe","badder"
"R_1hTodwWx3dCHEuv",-18,"Maybe 3 Badder","maybe","badder"
"R_1i9eQNz0x41R0gv",-31,"Maybe 3 Badder","maybe","badder"
"R_1jNGHGsMwnv28ul",5,"Maybe 3 Badder","maybe","badder"
"R_1kIcX7Z0ftlxVr6",-35,"Maybe 3 Badder","maybe","badder"
"R_1o6g2UdSHt2gzKi",-13,"Maybe 3 Badder","maybe","badder"
"R_1OAJ7HJqKJdsnK8",-10,"Maybe 3 Badder","maybe","badder"
"R_1rIDbUD7D19jHwL",24,"Maybe 3 Badder","maybe","badder"
"R_26kYaGxKqcDzQh2",50,"Maybe 3 Badder","maybe","badder"
"R_2AEz7gp2X7S0kDc",4,"Maybe 3 Badder","maybe","badder"
"R_2aLg1pNUmyUyafN",-28,"Maybe 3 Badder","maybe","badder"
"R_2bZQfabnPp5zGxV",-11,"Maybe 3 Badder","maybe","badder"
"R_2dMWycJ8dauXSdx",11,"Maybe 3 Badder","maybe","badder"
"R_2Et5O1r8XPyRY5g",-46,"Maybe 3 Badder","maybe","badder"
"R_2TBm9RblyDfXDNy",5,"Maybe 3 Badder","maybe","badder"
