run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
25,0.0001,26,43,58,70,75,92,47,53,-1.6470588235294117,8.0,2.0980392156862746,1.1568627450980393,0.15986842105263155
26,0.0001,28,44,62,102,75,79,56,34,-1.9607843137254901,9.0,2.627450980392157,1.3137254901960784,0.19163925438596485
27,0.0001,30,76,47,64,102,82,61,34,-2.2745098039215685,9.0,2.8823529411764706,1.2745098039215685,0.1825498726655348
28,0.0001,26,46,63,80,102,58,85,34,-2.235294117647059,8.0,2.9215686274509802,1.3529411764705883,0.19858299595141693
29,0.0001,28,45,61,80,83,105,58,34,-2.235294117647059,9.0,2.8823529411764706,1.3725490196078431,0.19807692307692304
30,0.0001,26,38,57,82,78,58,98,34,-1.7843137254901962,7.0,2.607843137254902,1.2745098039215685,0.20193317689127266
31,0.0001,28,60,44,104,80,83,58,34,-2.176470588235294,9.0,2.8627450980392157,1.3529411764705883,0.1981830850037518
32,0.0001,28,43,60,95,100,74,55,34,-2.1372549019607843,9.0,2.823529411764706,1.2745098039215685,0.2042191367990529
33,0.0001,26,62,46,115,79,96,58,34,-2.6666666666666665,9.0,3.3529411764705883,1.607843137254902,0.22333741330069357
34,0.0001,28,44,62,82,97,79,60,34,-2.0784313725490198,9.0,2.7450980392156863,1.2156862745098038,0.18584578730777568
35,0.0001,26,41,83,56,72,94,63,68,-2.411764705882353,7.0,2.843137254901961,1.196078431372549,0.15601653238463942
36,0.0001,33,40,56,71,81,74,54,34,-1.2352941176470589,9.0,1.8823529411764706,0.803921568627451,0.15041582511583695
37,0.0001,28,43,77,55,95,92,65,42,-2.2941176470588234,8.0,2.823529411764706,1.1764705882352942,0.18137244519750073
38,0.0001,28,45,60,78,72,99,57,34,-1.8235294117647058,9.0,2.4705882352941178,1.2549019607843137,0.1840491821519974
39,0.0001,30,42,71,58,87,95,96,39,-2.7058823529411766,6.0,3.2745098039215685,1.1568627450980393,0.1871367608209713
40,0.0001,62,46,28,105,88,79,61,37,-2.4705882352941178,11.0,3.0980392156862746,1.3725490196078431,0.19321822342417305
41,0.0001,27,41,59,74,99,54,82,34,-1.7647058823529411,8.0,2.5098039215686274,1.2745098039215685,0.19790033594624856
42,0.0001,30,37,57,81,66,89,55,37,-1.411764705882353,8.0,2.1176470588235294,1.0196078431372548,0.172036562645552
43,0.0001,26,62,84,45,84,110,61,34,-2.4705882352941178,10.0,3.196078431372549,1.5098039215686274,0.20853442895776997
44,0.0001,28,44,66,82,59,86,107,34,-2.4705882352941178,7.0,3.1372549019607843,1.411764705882353,0.20309964634907418
45,0.0001,30,65,71,96,44,62,78,34,-1.9607843137254901,10.0,2.6470588235294117,1.1568627450980393,0.1718475877192982
46,0.0001,28,41,58,73,80,56,99,34,-1.7450980392156863,8.0,2.4705882352941178,1.2549019607843137,0.19225115026371897
47,0.0001,28,46,62,102,77,61,85,34,-2.2549019607843137,8.0,2.9019607843137254,1.3137254901960784,0.19130781499202554
48,0.0001,36,53,63,108,86,80,54,34,-2.627450980392157,10.0,3.1176470588235294,1.3137254901960784,0.1810260086012696
49,0.0001,29,44,61,77,105,61,87,37,-2.372549019607843,7.0,2.9607843137254903,1.3529411764705883,0.19217880029414847
