run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
26,0.0001,34,41,59,65,80,77,92,95,-2.564516129032258,1.0,2.564516129032258,0.532258064516129,0.06488835174953955
27,0.0001,38,33,59,66,87,81,105,119,-3.2903225806451615,2.0,3.370967741935484,0.9354838709677419,0.11086309523809534
28,0.0001,51,64,56,49,94,74,101,82,-3.0161290322580645,6.0,3.0161290322580645,0.3870967741935484,0.036640761821366
29,0.0001,45,43,61,71,66,87,98,96,-2.9516129032258065,3.0,2.9516129032258065,0.43548387096774194,0.05001653439153442
30,0.0001,39,61,51,44,92,59,101,84,-2.370967741935484,6.0,2.403225806451613,0.5483870967741935,0.07306379472693036
31,0.0001,43,39,58,63,84,84,105,98,-3.064516129032258,2.0,3.064516129032258,0.6129032258064516,0.07268074912891986
32,0.0001,35,53,43,67,59,98,85,104,-2.5806451612903225,3.0,2.5806451612903225,0.6612903225806451,0.0886948529411764
33,0.0001,36,38,59,79,61,79,88,96,-2.4516129032258065,1.0,2.4516129032258065,0.5161290322580645,0.06506529850746268
34,0.0001,39,38,52,88,79,68,75,102,-2.532258064516129,5.0,2.532258064516129,0.5806451612903226,0.07107786506469504
35,0.0001,37,43,50,62,70,101,84,86,-2.403225806451613,2.0,2.403225806451613,0.5806451612903226,0.07191017823639778
36,0.0001,36,47,65,72,53,102,92,82,-2.661290322580645,4.0,2.661290322580645,0.6129032258064516,0.068448315118397
37,0.0001,40,35,57,62,111,89,95,115,-3.5483870967741935,3.0,3.596774193548387,0.8387096774193549,0.1091680463576159
38,0.0001,34,49,38,76,84,67,112,93,-2.725806451612903,4.0,2.7903225806451615,0.8064516129032258,0.1019721971066907
39,0.0001,41,67,60,45,107,97,78,86,-3.1774193548387095,6.0,3.193548387096774,0.6129032258064516,0.06510864888123935
40,0.0001,34,37,74,52,89,82,97,102,-2.9516129032258065,2.0,2.967741935483871,0.6451612903225806,0.08793540564373892
41,0.0001,36,43,84,57,62,108,69,88,-2.629032258064516,5.0,2.629032258064516,0.7096774193548387,0.0773251828153565
42,0.0001,38,43,51,57,87,117,80,101,-3.064516129032258,3.0,3.064516129032258,0.8225806451612904,0.10273301393728218
43,0.0001,41,46,52,67,81,80,72,93,-2.3870967741935485,2.0,2.3870967741935485,0.3870967741935484,0.03818139097744355
44,0.0001,39,60,51,71,90,78,92,104,-3.2419354838709675,2.0,3.2419354838709675,0.5967741935483871,0.052377136752136844
45,0.0001,38,43,96,64,68,89,99,117,-3.7096774193548385,3.0,3.7096774193548385,0.8225806451612904,0.0840289087947883
46,0.0001,37,37,72,82,98,60,89,100,-3.0806451612903225,4.0,3.096774193548387,0.5645161290322581,0.07388586956521737
47,0.0001,44,41,70,58,102,88,80,94,-3.1129032258064515,5.0,3.1129032258064515,0.532258064516129,0.0589525563258233
48,0.0001,34,57,47,57,85,82,91,75,-2.3225806451612905,4.0,2.3225806451612905,0.46774193548387094,0.05208333333333326
49,0.0001,36,58,44,97,73,101,87,82,-3.129032258064516,6.0,3.129032258064516,0.5967741935483871,0.06709558823529416
50,0.0001,34,46,39,61,71,87,76,99,-2.0806451612903225,2.0,2.129032258064516,0.5967741935483871,0.08433845029239762
